"","Domain","Phylum","Class","Order","Family","Genus"
"ASV11603"," d__Bacteria"," p__Desulfobacterota"," c__GWC2-55-46"," o__GWC2-55-46"," f__GWC2-55-46"," g__JACRLF01"
"ASV11604"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__JACRMK01"," f__JACRMK01"," g__JACRMK01"
"ASV11605"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__PWEA01"," f__JACRMZ01"," g__JACRMZ01"
"ASV11606"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__JdFR-88"," g__JACWAF01"
"ASV11607"," d__Archaea"," p__Thermoplasmatota"," c__Thermoplasmata"," o__Thermoplasmatales"," f__Thermoplasmataceae"," g__JACWAH01"
"ASV11608"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodospirillales_A"," f__JADFTO01"," g__JACZQZ01"
"ASV11609"," d__Bacteria"," p__Sumerlaeota"," c__Sumerlaeia"," o__JADFCW01"," f__JADFCW01"," g__JADFCW01"
"ASV11610"," d__Bacteria"," p__Poribacteria"," c__WGA-4E"," o__WGA-4E"," f__PCPOR2b"," g__JADFGN01"
"ASV11611"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__JADFUS01"
"ASV11612"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__GIF9"," f__AB-539-J10"," g__JADFUX01"
"ASV11613"," d__Bacteria"," p__Desulfobacterota"," c__GWC2-55-46"," o__GWC2-55-46"," f__JADFVP01"," g__JADFVP01"
"ASV11614"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__Magnetobacteriaceae"," g__JADFXG01"
"ASV11615"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Tantalellales"," f__Tantalellaceae"," g__JADFYD01"
"ASV11616"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Zapsychraceae"," g__JADFZM01"
"ASV11617"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__Desulfobacterales"," f__JADGBH01"," g__JADGBH01"
"ASV11618"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Cellulomonadaceae"," g__JADGOR01"
"ASV11619"," d__Bacteria"," p__Cyanobacteriota"," c__Vampirovibrionia"," o__Vampirovibrionales"," f__Vampirovibrionaceae"," g__JADJRF01"
"ASV11620"," d__Bacteria"," p__Electryoneota"," c__RPQS01"," o__RPQS01"," f__RPQS01"," g__JADLDM01"
"ASV11621"," d__Bacteria"," p__Cyanobacteriota"," c__Vampirovibrionia"," o__Obscuribacterales"," f__Obscuribacteraceae"," g__JADYXR01"
"ASV11622"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__JADYZS01"," f__JADYZS01"," g__JADYZS01"
"ASV11623"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Aggregatilineales"," f__UBA3940"," g__JADZAD01"
"ASV11624"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__CAILAD01"," f__GCA-016700035"," g__JADZGC01"
"ASV11625"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__JAEINX01"," g__JAEINX01"
"ASV11626"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Ilumatobacteraceae"," g__JAENVT01"
"ASV11627"," d__Bacteria"," p__Planctomycetota"," c__UBA1135"," o__UBA1135"," f__GCA-002686595"," g__JAEUIA01"
"ASV11628"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__DTU013"," g__JAEYOM01"
"ASV11629"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__DTU013"," g__JAEYRB01"
"ASV11630"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__DTU013"," g__JAEZJL01"
"ASV11631"," d__Bacteria"," p__Bacillota_G"," c__UBA4882"," o__UBA8346"," f__UBA8346"," g__JAEZJQ01"
"ASV11632"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__DSM-2933"," g__JAEZNF01"
"ASV11633"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__JAFADI01"," g__JAFADI01"
"ASV11634"," d__Archaea"," p__Iainarchaeota"," c__Iainarchaeia"," o__Iainarchaeales"," f__DTGL01"," g__JAFCFP01"
"ASV11635"," d__Bacteria"," p__Desulfobacterota"," c__Desulfobacteria"," o__C00003060"," f__C00003060"," g__JAFDKF01"
"ASV11636"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Coxiellales"," f__Coxiellaceae"," g__JAFEDN01"
"ASV11637"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__Babeliaceae"," g__JAFFZZ01"
"ASV11638"," d__Bacteria"," p__QNDG01"," c__QNDG01"," o__QNDG01"," f__DTFT01"," g__JAFGAX01"
"ASV11639"," d__Bacteria"," p__Acidobacteriota"," c__Aminicenantia"," o__Aminicenantales"," f__JAFGBC01"," g__JAFGBC01"
"ASV11640"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__GIF9"," f__AB-539-J10"," g__JAFGBN01"
"ASV11641"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Duberdicusellales"," f__Duberdicusellaceae"," g__JAFGCB01"
"ASV11642"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__JAFGHF01"," f__JAFGHF01"," g__JAFGCM01"
"ASV11643"," d__Bacteria"," p__Patescibacteria"," c__Dojkabacteria"," o__JAHIVN01"," f__JAHIVN01"," g__JAFGDO01"
"ASV11644"," d__Bacteria"," p__Fibrobacterota"," c__Chitinivibrionia"," o__Chitinivibrionales"," f__Chitinispirillaceae"," g__JAFGDP01"
"ASV11645"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__B4-G1"," f__B4-G1"," g__JAFGED01"
"ASV11646"," d__Bacteria"," p__Desulfobacterota"," c__DSM-4660"," o__Desulfatiglandales"," f__HGW-15"," g__JAFGGA01"
"ASV11647"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Sedimentisphaerales"," f__Anaerohalosphaeraceae"," g__JAFGGE01"
"ASV11648"," d__Bacteria"," p__Verrucomicrobiota"," c__Kiritimatiellia"," o__JAFGHX01"," f__JAFGHX01"," g__JAFGHX01"
"ASV11649"," d__Bacteria"," p__Fibrobacterota"," c__Chitinivibrionia"," o__Chitinivibrionales"," f__Chitinispirillaceae"," g__JAFGIN01"
"ASV11650"," d__Bacteria"," p__JAFGBW01"," c__JAFGBW01"," o__JAFGJP01"," f__JAFGJP01"," g__JAFGJP01"
"ASV11651"," d__Bacteria"," p__Omnitrophota"," c__Omnitrophia"," o__JAHJGZ01"," f__JAFGJY01"," g__JAFGJY01"
"ASV11652"," d__Archaea"," p__Thermoplasmatota"," c__EX4484-6"," o__EX4484-6"," f__EX4484-6"," g__JAFGLL01"
"ASV11653"," d__Bacteria"," p__Myxococcota"," c__UBA796"," o__UBA796"," f__JAFGLY01"," g__JAFGLY01"
"ASV11654"," d__Bacteria"," p__Actinomycetota"," c__Geothermincolia"," o__Fen-727"," f__Anoxymicrobiaceae"," g__JAFGMY01"
"ASV11655"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Sedimentisphaerales"," f__SG8-4"," g__JAFGPS01"
"ASV11656"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__Thermoguttaceae"," g__JAFGPV01"
"ASV11657"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__DUPQ01"," f__DUPQ01"," g__JAFGQE01"
"ASV11658"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Sedimentisphaerales"," f__SG8-4"," g__JAFGRL01"
"ASV11659"," d__Bacteria"," p__CG03"," c__SLGR01"," o__SLGR01"," f__JAFGSA01"," g__JAFGSA01"
"ASV11660"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__UMGS1883"," f__UMGS1883"," g__JAFLUQ01"
"ASV11661"," d__Bacteria"," p__Acidobacteriota"," c__UBA6911"," o__UBA6911"," f__UBA6911"," g__JAFNAG01"
"ASV11662"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Sedimentisphaerales"," f__SG8-4"," g__JAFNGF01"
"ASV11663"," d__Bacteria"," p__Synergistota"," c__Synergistia"," o__Synergistales"," f__Aminobacteriaceae"," g__JAFUXM01"
"ASV11664"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__CABMGC01"," g__JAGDYB01"
"ASV11665"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Anstonellales"," f__JAGGTN01"," g__JAGGTN01"
"ASV11666"," d__Archaea"," p__Aenigmatarchaeota"," c__Aenigmatarchaeia"," o__GW2011-AR5"," f__JAGGXF01"," g__JAGGVU01"
"ASV11667"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Anstonellales"," f__JAGGXE01"," g__JAGGXE01"
"ASV11668"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA1429"," f__UBA1429"," g__JAGGYI01"
"ASV11669"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__UBA2247"," f__UBA2247"," g__JAGHDJ01"
"ASV11670"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__JAGLOS01"," g__JAGLOS01"
"ASV11671"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Duberdicusellales"," f__4484-171"," g__JAGLUN01"
"ASV11672"," d__Bacteria"," p__WOR-3"," c__UBA3072"," o__UBA3072"," f__UBA3072"," g__JAGLZA01"
"ASV11673"," d__Bacteria"," p__NPL-UPA2"," c__NPL-UPA2"," o__NPL-UPA2"," f__JAGMAN01"," g__JAGMAN01"
"ASV11674"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Caldilineales"," f__Caldilineaceae"," g__JAGNDO01"
"ASV11675"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__V1-33"," g__JAGNEJ01"
"ASV11676"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__UBA1845"," f__PWPN01"," g__JAGNEZ01"
"ASV11677"," d__Bacteria"," p__Fusobacteriota"," c__Fusobacteriia"," o__Fusobacteriales"," f__Leptotrichiaceae"," g__JAGOYM01"
"ASV11678"," d__Bacteria"," p__Caldisericota"," c__Caldisericia"," o__UBA6126"," f__JAGPKI01"," g__JAGPKI01"
"ASV11679"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Phycisphaerales"," f__UBA1924"," g__JAGQOH01"
"ASV11680"," d__Bacteria"," p__Actinomycetota"," c__Geothermincolia"," o__Fen-727"," f__Anoxymicrobiaceae"," g__JAGUWJ01"
"ASV11681"," d__Bacteria"," p__Chlamydiota"," c__Chlamydiia"," o__Chlamydiales"," f__JAEYWL01"," g__JAGVLX01"
"ASV11682"," d__Bacteria"," p__Eisenbacteria"," c__RBG-16-71-46"," o__JAGVPR01"," f__JAGVPR01"," g__JAGVPR01"
"ASV11683"," d__Archaea"," p__Nanoarchaeota"," c__Nanoarchaeia"," o__SCGC-AAA011-G17"," f__JACPNG01"," g__JAGVYI01"
"ASV11684"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Longimicrobiales"," f__UBA6960"," g__JAGWBQ01"
"ASV11685"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," g__JAGWRA01"
"ASV11686"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__F1-140-MAGs086"," g__JAGXRH01"
"ASV11687"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Phycisphaerales"," f__UBA1924"," g__JAHBXB01"
"ASV11688"," d__Bacteria"," p__Planctomycetota"," c__Planctomycetia"," o__Pirellulales"," f__JAEUIK01"," g__JAHBXR01"
"ASV11689"," d__Bacteria"," p__Desulfobacterota"," c__WTBG01"," o__CAIYCZ01"," f__CAIRTM01"," g__JAHEEI01"
"ASV11690"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__JAHEZR01"," g__JAHEZR01"
"ASV11691"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__PEYH01"," g__JAHIEL01"
"ASV11692"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA12405"," f__UBA12405"," g__JAHIEZ01"
"ASV11693"," d__Bacteria"," p__Patescibacteria"," c__WWE3"," o__0-14-0-20-40-13"," f__0-14-0-20-40-13"," g__JAHINB01"
"ASV11694"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__JAHISH01"
"ASV11695"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__UBA10102"," g__JAHIUP01"
"ASV11696"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__JAHIZC01"
"ASV11697"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__B26-G9"," f__B26-G9"," g__JAHJAO01"
"ASV11698"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__JAHJCI01"," g__JAHJCI01"
"ASV11699"," d__Bacteria"," p__Marinisomatota"," c__Marinisomatia"," o__Marinisomatales"," f__JAHJCW01"," g__JAHJCW01"
"ASV11700"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__JAHKBC01"
"ASV11701"," d__Archaea"," p__Methanobacteriota_B"," c__Thermococci"," o__Methanofastidiosales"," f__NM3"," g__JAHKLV01"
"ASV11702"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Anstonellales"," f__JAHKLY01"," g__JAHKLY01"
"ASV11703"," d__Bacteria"," p__Hydrogenedentota"," c__Hydrogenedentia"," o__Hydrogenedentiales"," f__SLHB01"," g__JAIBAQ01"
"ASV11704"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__QHBQ01"," f__JADMIH01"," g__JAICKM01"
"ASV11705"," d__Bacteria"," p__Patescibacteria"," c__Saccharimonadia"," o__Saccharimonadales"," f__UBA4665"," g__JAICLK01"
"ASV11706"," d__Bacteria"," p__Bacillota_B"," c__Desulfotomaculia"," o__Desulfotomaculales"," f__Desulfocucumaceae"," g__JAILZP01"
"ASV11707"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__JAAYEA01"," f__JAAYEA01"," g__JAIOAV01"
"ASV11708"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Tepidimicrobiaceae"," g__JAIOUP01"
"ASV11709"," d__Bacteria"," p__Electryoneota"," c__AABM5-125-24"," o__Hatepunaeales"," f__Hatepunaeaceae"," g__JAIPJL01"
"ASV11710"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__UBA7540"," f__UBA7540"," g__JAIQGB01"
"ASV11711"," d__Bacteria"," p__RUG730"," c__RUG730"," o__RUG730"," f__RUG730"," g__JAIRLV01"
"ASV11712"," d__Bacteria"," p__Campylobacterota"," c__Campylobacteria"," o__Campylobacterales"," f__SZUA-545"," g__JAIRNH01"
"ASV11713"," d__Bacteria"," p__Desulfobacterota"," c__Desulfarculia"," o__Adiutricales"," f__Adiutricaceae"," g__JAIRNQ01"
"ASV11714"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__WQXJ01"," g__JAIRTF01"
"ASV11715"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__DTKZ01"," f__DTKZ01"," g__JAISAF01"
"ASV11716"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Opitutales"," f__Opitutaceae"," g__JAISTY01"
"ASV11717"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__JAIYCR01"
"ASV11718"," d__Bacteria"," p__Cloacimonadota"," c__Cloacimonadia"," o__Cloacimonadales"," f__JAJBBL01"," g__JAJBBL01"
"ASV11719"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Longimicrobiales"," f__UBA6960"," g__JAJCZZ01"
"ASV11720"," d__Bacteria"," p__Myxococcota"," c__Polyangia"," o__Polyangiales"," f__Polyangiaceae"," g__JAJDAH01"
"ASV11721"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA8438"," g__JAJEEA01"
"ASV11722"," d__Bacteria"," p__Gemmatimonadota"," c__Glassbacteria"," o__GWA2-58-10"," f__GWA2-58-10"," g__JAJFUG01"
"ASV11723"," d__Bacteria"," p__Goldbacteria"," c__PGYV01"," o__PGYV01"," f__Palsa-1178"," g__JAJFUW01"
"ASV11724"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Limisphaerales"," f__Pedosphaeraceae"," g__JAJPHR01"
"ASV11725"," d__Bacteria"," p__Chloroflexota"," c__Ktedonobacteria"," o__Ktedonobacterales"," f__JADMIN01"," g__JAJPIU01"
"ASV11726"," d__Bacteria"," p__Chloroflexota"," c__Ktedonobacteria"," o__Ktedonobacterales"," f__JADMIN01"," g__JAJPKE01"
"ASV11727"," d__Archaea"," p__Halobacteriota"," c__Methanomicrobia"," o__Methanomicrobiales"," f__Methanospirillaceae"," g__JAJRBP01"
"ASV11728"," d__Bacteria"," p__Planctomycetota"," c__JAJSAM01"," o__JAKLKS01"," f__JAJVHW01"," g__JAJRPF01"
"ASV11729"," d__Bacteria"," p__Gemmatimonadota"," c__Glassbacteria"," o__GWA2-58-10"," f__GWA2-58-10"," g__JAJRTS01"
"ASV11730"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__4572-78"," f__4572-78"," g__JAJRUC01"
"ASV11731"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Tantalellales"," f__Tantalellaceae"," g__JAJRVD01"
"ASV11732"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__4572-78"," f__NAK82"," g__JAJRXB01"
"ASV11733"," d__Bacteria"," p__Calditrichota"," c__Calditrichia"," o__RBG-13-44-9"," f__RBG-13-44-9"," g__JAJRXE01"
"ASV11734"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__BMS3ABIN01"," f__BMS3ABIN01"," g__JAJRYJ01"
"ASV11735"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__TTA-H9"," g__JAJTBW01"
"ASV11736"," d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__UBA1845"," f__Fen-1342"," g__JAJVHV01"
"ASV11737"," d__Bacteria"," p__Patescibacteria"," c__Dojkabacteria"," o__JAKAPS01"," f__JAJZLI01"," g__JAJYFR01"
"ASV11738"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__JABEUL01"," g__JAJYFT01"
"ASV11739"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Moranbacterales"," f__UBA2206"," g__JAJYGF01"
"ASV11740"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__Colwellbacteraceae"," g__JAJYME01"
"ASV11741"," d__Bacteria"," p__Chloroflexota"," c__UBA6077"," o__UBA6077"," f__UBA6077"," g__JAJYNT01"
"ASV11742"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA8401"," g__JAJYOI01"
"ASV11743"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__Micrarchaeaceae"," g__JAJYUY01"
"ASV11744"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__JAKAOS01"," g__JAJYWE01"
"ASV11745"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__Micrarchaeaceae"," g__JAJYXL01"
"ASV11746"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Acidimicrobiaceae"," g__JAJYZP01"
"ASV11747"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__JAJZHK01"
"ASV11748"," d__Bacteria"," p__Patescibacteria"," c__Dojkabacteria"," o__JAKAPS01"," f__JAJZLI01"," g__JAJZKG01"
"ASV11749"," d__Bacteria"," p__Bacillota_E"," c__JAJZYS01"," o__JAJZYS01"," f__JAJZLH01"," g__JAJZLH01"
"ASV11750"," d__Bacteria"," p__Bacillota_B"," c__Desulfitobacteriia"," o__Desulfitobacteriales"," f__Desulfitobacteriaceae"," g__JAJZPA01"
"ASV11751"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__UBA6899"," g__JAJZQJ01"
"ASV11752"," d__Bacteria"," p__Desulfobacterota_E"," c__Deferrimicrobia"," o__Deferrimicrobiales"," f__Deferrimicrobiaceae"," g__JAKAHC01"
"ASV11753"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," g__JAKAJH01"
"ASV11754"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__CABMGC01"," g__JAKAON01"
"ASV11755"," d__Bacteria"," p__Eremiobacterota"," c__JABDET01"," o__JABDET01"," f__JABDET01"," g__JAKAVV01"
"ASV11756"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," g__JAKEEG01"
"ASV11757"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Woeseiales"," f__Woeseiaceae"," g__JAKEGN01"
"ASV11758"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__UBA12059"," g__JAKLIU01"
"ASV11759"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__JAKLPW01"," f__JAKLPW01"," g__JAKLPW01"
"ASV11760"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Acetivibrionales"," f__JAKOSZ01"," g__JAKOSZ01"
"ASV11761"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__SpSt-313"," f__SpSt-313"," g__JAKPJZ01"
"ASV11762"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__DTGW01"," g__JAKPQD01"
"ASV11763"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Anaerolineales"," f__UBA4823"," g__JAKQIM01"
"ASV11764"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Anaerolineales"," f__Anaerolineaceae"," g__JAKQJC01"
"ASV11765"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__JAKQWZ01"
"ASV11766"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Caminicellaceae"," g__JAKSBP01"
"ASV11767"," d__Bacteria"," p__Myxococcota_A"," c__UBA9160"," o__UBA9160"," f__SMWR01"," g__JAKVBI01"
"ASV11768"," d__Bacteria"," p__Bacillota_C"," c__Negativicutes"," o__Acidaminococcales"," f__Acidaminococcaceae"," g__JALCSJ01"
"ASV11769"," d__Bacteria"," p__Electryoneota"," c__AABM5-125-24"," o__Hatepunaeales"," f__Hatepunaeaceae"," g__JALGVR01"
"ASV11770"," d__Bacteria"," p__Myxococcota"," c__XYA12-FULL-58-9"," o__XYA12-FULL-58-9"," f__JALHOP01"," g__JALHOP01"
"ASV11771"," d__Bacteria"," p__Ratteibacteria"," c__UBA8468"," o__B48-G9"," f__JAFGKM01"," g__JALNXB01"
"ASV11772"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA2210"," g__JALNXD01"
"ASV11773"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Ilumatobacteraceae"," g__JALOLG01"
"ASV11774"," d__Bacteria"," p__Desulfobacterota"," c__Thermodesulfobacteria"," o__Thermodesulfobacteriales"," f__Thermodesulfatatoraceae"," g__JALSKZ01"
"ASV11775"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," g__JALSRK01"
"ASV11776"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Aggregatilineales"," f__Aggregatilineaceae"," g__JALSSH01"
"ASV11777"," d__Bacteria"," p__WOR-3"," c__Hydrothermia"," o__UBA1063"," f__CAJXJZ01"," g__JALTEL01"
"ASV11778"," d__Archaea"," p__Hydrothermarchaeota"," c__Hydrothermarchaeia"," o__JALTZZ01"," f__JALTZZ01"," g__JALTZZ01"
"ASV11779"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__SZUA-6"," f__SZUA-6"," g__JALUUM01"
"ASV11780"," d__Archaea"," p__Hydrothermarchaeota"," c__Hydrothermarchaeia"," o__Hydrothermarchaeales"," f__WAQR01"," g__JALUUU01"
"ASV11781"," d__Bacteria"," p__Desulfobacterota"," c__DSM-4660"," o__Desulfatiglandales"," f__JALVZP01"," g__JALVZP01"
"ASV11782"," d__Archaea"," p__B1Sed10-29"," c__B1Sed10-29"," o__WALL01"," f__WAMD01"," g__JALWQZ01"
"ASV11783"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1406"," f__GWC2-37-13"," g__JALWZV01"
"ASV11784"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Aggregatilineales"," f__JALXEW01"," g__JALXEW01"
"ASV11785"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__GCA-2861595"," g__JALYHF01"
"ASV11786"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__Thermomicrobiales"," f__JALYUS01"," g__JALYUS01"
"ASV11787"," d__Bacteria"," p__Eremiobacterota"," c__Eremiobacteria"," o__Eremiobacterales"," f__Eremiobacteraceae"," g__JALYZS01"
"ASV11788"," d__Bacteria"," p__Nitrospirota_A"," c__Leptospirillia"," o__Leptospirillales"," f__JAMCRA01"," g__JAMCRA01"
"ASV11789"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA4142"," f__UBA4142"," g__JAMCRS01"
"ASV11790"," d__Bacteria"," p__Bacillota_E"," c__JAMCWA01"," o__JAMCWA01"," f__JAMCWA01"," g__JAMCWA01"
"ASV11791"," d__Bacteria"," p__Armatimonadota"," c__Chthonomonadetes"," o__Chthonomonadales"," f__JAMCWF01"," g__JAMCWF01"
"ASV11792"," d__Bacteria"," p__Actinomycetota"," c__Aquicultoria"," o__Aquicultorales"," f__JAMCWL01"," g__JAMCWL01"
"ASV11793"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__JAMCWQ01"," f__JAMCWQ01"," g__JAMCWQ01"
"ASV11794"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," o__Micrarchaeales"," f__Micrarchaeaceae"," g__JAMCYG01"
