"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV107"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Thiobacillaceae"," f__Thiobacillaceae",1,0,1,5,7,0,0,26,21,11,0,7,1,1,25,0,0,1,8,0,1,1,0,5,389
"ASV108"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__UBA10030"," f__UBA10030",4,0,3,0,0,0,0,1,0,0,0,0,0,5,8,6,0,0,0,0,0,30,0,0,0
"ASV109"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__UBA12059"," f__UBA12059",3,3,0,0,0,2,1,0,0,0,2,1,0,4,2,0,0,1,1,6,0,1,0,4,0
"ASV110"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__UBA1400"," f__UBA12108"," f__UBA12108",1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,2,9,0,0
"ASV111"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA1546"," f__UBA1546",5,0,0,0,0,0,0,3,4,2,0,12,3,1,0,1,0,1,0,0,0,1,1,0,0
"ASV112"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA2185"," f__UBA2185",2,2,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,13,0,7,0
"ASV113"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__UBA2241"," f__UBA2241"," f__UBA2241",2,2,0,2,3,0,1,6,0,6,1,1,0,0,0,0,0,0,6,0,1,0,2,0,1
"ASV114"," d__Bacteria"," p__Bacteroidota"," c__Kapaibacteriia"," o__Kapaibacteriales"," f__UBA2268"," f__UBA2268",2,1,1,0,0,0,0,2,0,14,0,0,0,0,7,0,0,1,0,3,2,0,0,2,0
"ASV115"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," f__UBA2999",2,0,45,19,0,0,0,19,3,35,0,5,0,36,2,25,0,0,9,0,0,330,29,0,0
"ASV116"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__UBA5619"," f__UBA5619",6,1,0,7,1,0,0,37,1,4,0,13,1,10,3,0,0,0,36,1,7,6,9,3,5
"ASV117"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," o__Thermomicrobiales"," f__UBA6265"," f__UBA6265",1,0,0,2,0,0,0,10,0,1,0,3,0,6,0,5,0,1,4,0,0,0,1,0,0
"ASV118"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," o__Thermodesulfovibrionales"," f__UBA6898"," f__UBA6898",4,0,0,0,0,0,0,13,0,6,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0
"ASV119"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__UBA7662"," f__UBA7662"," f__UBA7662",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV120"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__UBA8131"," f__UBA8131",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV121"," d__Bacteria"," p__Bacillota_D"," c__Dethiobacteria"," o__DTU022"," f__UBA8154"," f__UBA8154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ASV122"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__UBA912"," f__UBA912",1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123"," d__Bacteria"," p__Nitrospirota"," c__UBA9217"," o__UBA9217"," f__UBA9217"," f__UBA9217",20,0,0,1,1,0,0,10,0,1,0,1,0,2,0,0,0,0,0,0,7,1,11,0,0
"ASV124"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__Magasanikbacterales"," f__UBA922"," f__UBA922",1,0,29,8,0,0,0,2,19,0,0,0,0,1,7,49,0,0,0,0,5,86,4,2,0
"ASV125"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__UBA9933"," f__UBA9933",5,10,8,2,0,2,0,18,4,22,0,2,5,7,1,32,0,0,1,0,5,9,0,13,2
"ASV126"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9983"," f__UBA9983"," f__UBA9983",6,0,0,0,0,0,0,2,2,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV127"," d__Bacteria"," p__Patescibacteria"," c__Gracilibacteria"," o__UM-FILTER-43-11"," f__UM-FILTER-43-11"," f__UM-FILTER-43-11",4,0,6,0,0,0,0,0,3,0,0,1,0,0,1,7,0,0,0,0,0,5,1,0,0
"ASV128"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Verrucomicrobiaceae"," f__Verrucomicrobiaceae",1,0,0,1,0,10,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Vicingaceae"," f__Vicingaceae",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"ASV130"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," f__Xanthobacteraceae",4,2,143,63,2,8,7,222,37,747,0,164,0,0,2,36,487,0,149,0,63,71,148,5,67
"ASV131"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," f__Xanthomonadaceae",6,0,1,0,12,0,0,22,0,7,0,3,5,2,0,9,4,0,6,6,27,1,88,9,0
"ASV132"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA9973"," f__JABMNX01"," g__1-14-0-10-49-17",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,5,0,0
"ASV133"," d__Bacteria"," p__Acidobacteriota"," c__Vicinamibacteria"," o__Vicinamibacterales"," f__UBA2999"," g__12-FULL-67-14b",3,0,81,701,0,4,1,195,35,879,0,108,0,27,17,9,0,0,55,0,3,566,49,0,0
"ASV134"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__2-02-FULL-40-12"," f__GWA2-44-9"," g__2-01-FULL-41-26",1,0,286,4,0,0,0,6,7,0,0,4,0,72,10,116,0,0,1,0,7,4920,0,1,0
"ASV135"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__Staskawiczbacteraceae"," g__2-02-FULL-34-10",1,0,31,0,0,0,0,1,2,0,0,0,0,1,2,5,0,0,0,0,0,54,1,0,0
"ASV136"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA10092"," f__UBA10092"," g__2-02-FULL-45-18",2,0,63,2,0,0,0,1,1,5,0,1,0,2,0,16,0,0,0,0,1,4,0,0,1
"ASV137"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-39"," g__2-02-FULL-63-19",1,0,15,1,0,0,0,1,0,0,0,0,0,0,2,188,0,0,0,0,0,148,13,0,0
"ASV138"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__SG8-39"," g__2-12-FULL-64-23",11,0,18,17,0,1,0,114,56,3,0,36,0,1,43,301,0,0,0,0,2,487,230,0,1
"ASV139"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Dethiosulfatibacteraceae"," g__38-11",3,1,0,0,189,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,1,0,108,0
"ASV140"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Gallionellaceae"," g__39-52-133",3,0,0,1,1,0,0,3,102,2,0,2,1,0,18,5,0,1,2,0,0,1,7,0,2
"ASV141"," d__Archaea"," p__Thermoproteota"," c__Bathyarchaeia"," o__40CM-2-53-6"," f__40CM-2-53-6"," g__40CM-2-53-6",20,36,18,13,28,2,21,33,15,20,0,33,9,19,28,64,5,2,28,1,12,38,12,360,7
"ASV142"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Rhodanobacteraceae"," g__66-474",2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"ASV143"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__70-9"," g__67-14",5,0,3,20,1,1,0,9,4,1,0,9,0,6,0,25,1,1,8,0,5,6,2,3,0
"ASV144"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__73-13",5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV145"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__GIF9"," f__UBA5620"," g__9FT-COMBO-48-23",6,35,2,2,0,8,2,6,2,13,0,15,2,100,1,2,0,1,14,1,83,9,3,0,69
"ASV146"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__AC-25"," g__AC-25",1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV147"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__ARS1013"," g__ARS1013",1,0,0,0,0,0,0,3,0,3,0,1,0,15,0,8,0,0,2,0,2,11,1,1,0
"ASV148"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Microtrichaceae"," g__AWTP1-35",3,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"ASV149"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Eubacteriales"," f__Eubacteriaceae"," g__Acetobacterium",1,0,0,70,28,0,0,10,0,0,0,2,0,11,96,0,0,2,27,7,1,0,0,375,0
"ASV150"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Zapsychrales"," f__Aceulaceae"," g__Aceula",2,0,4,0,0,1,0,0,0,0,0,3,1,17,0,3,0,0,1,0,0,8,0,0,0
"ASV151"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Acidaminobacteraceae"," g__Acidaminobacter",1,6,0,0,13,0,0,2,0,0,0,1,0,10,2,0,0,0,4,0,0,1,0,246,0
"ASV152"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Acetobacterales"," f__Acetobacteraceae"," g__Acidisoma",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV153"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Acidovorax",8,11,3,101,2,49,41,3,5,7,0,796,3,10,18,4,30,5,33,1,5,81,19,24,70
"ASV154"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter",4,0,1,0,0,0,0,1,0,1,0,1,0,1,0,3,0,4,0,1,8,1,87,21,1
"ASV155"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Cellulomonadaceae"," g__Actinotalea",12,0,0,4,4,0,0,0,1,0,0,0,0,1,29,0,0,1,6,0,0,0,7,16,5
"ASV156"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Tissierellales"," f__Peptoniphilaceae"," g__Aedoeadaptatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV157"," d__Bacteria"," p__Fermentibacterota"," c__Fermentibacteria"," o__Fermentibacterales"," f__Fermentibacteraceae"," g__Aegiribacteria",1,0,1,1,1,0,0,0,0,0,0,2,0,8,1,1,0,0,0,0,0,1,0,1,0
"ASV158"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Nocardioidaceae"," g__Aeromicrobium",3,0,3,2,0,0,0,5,1,0,0,0,0,0,0,3,30,0,4,0,13,6,176,3,3
"ASV159"," d__Archaea"," p__Thermoproteota"," c__Thermoprotei_A"," o__Sulfolobales"," f__Acidilobaceae"," g__Aeropyrum",3,0,2,1,0,1,2,0,1,2,1,1,0,0,1,3,0,0,0,0,2,0,0,1,0
"ASV160"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Afipia",1,0,79,36,1,2,0,18,2,3,0,18,0,0,1,4,14,0,247,0,11,3,27,1,24
"ASV161"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Agitococcus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,1,703,0,1
"ASV162"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Agrococcus",4,0,0,9,1,4,0,8,2,1,0,0,0,0,1,0,0,0,1,0,0,2,35,0,0
"ASV163"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Agromyces",3,0,0,1,3,0,0,1,2,0,0,4,0,0,1,1,2,0,16,1,1,0,6,0,0
"ASV164"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Albidovulum",1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,2,2,3,1,1,0,0,0,8,0
"ASV165"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Alcalisalibacterium",2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,1,3,2,0,0,0,22,0
"ASV166"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Cytophagales"," f__Cyclobacteriaceae"," g__Algoriphagus",3,0,0,5,798,54,300,1,9,5,0,1284,3,3,0,18,61,63,393,3,0,0,3,34,99
"ASV167"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Amaricoccus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0
"ASV168"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Amnibacterium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"ASV169"," d__Bacteria"," p__Bacillota"," c__Bacilli"," o__Bacillales_H"," f__Anaerobacillaceae"," g__Anaerobacillus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV170"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Eubacteriales"," f__Anaerofustaceae"," g__Anaerofustis",1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV171"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Anaerolineales"," f__Anaerolineaceae"," g__Anaerolinea",1,1,0,1,0,0,0,4,0,2,0,1,1,1,1,0,0,0,7,0,5,12,0,0,0
"ASV172"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Thermotaleaceae"," g__Anaerosolibacter",1,0,1,1,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,5,5,1,0
"ASV173"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Anseongella",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV174"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Aquabacterium_A",2,2,7,1,2,0,3,2,1,7,0,16,1,0,0,3,1,3,5,0,267,50,214,0,9
"ASV175"," d__Bacteria"," p__Actinomycetota"," c__Aquicultoria"," o__Aquicultorales"," f__Aquicultoraceae"," g__Aquicultor",601,0,1,67,1,0,0,4,2,12,0,0,1,5,0,0,0,28,0,0,0,0,0,0,0
"ASV176"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Cytophagales"," f__Cyclobacteriaceae"," g__Aquiflexum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV177"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Iamiaceae"," g__Aquihabitans",1,0,0,1,0,0,0,2,0,2,1,0,0,0,0,2,0,0,2,0,1,1,1,1,0
"ASV178"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Aquimonas",21,0,0,0,34,0,1,0,2,2,0,4,0,0,3,0,4,7,0,3,0,0,0,7,0
"ASV179"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Arachnia",3,0,0,1,1,0,0,0,1,0,0,0,0,0,3,2,3,0,4,0,0,0,1,0,1
"ASV180"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," g__Archaeoglobus_A",1,2,3,0,0,0,0,0,0,0,0,0,2,5,0,7,0,0,1,0,4,18,5,0,0
"ASV181"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," g__Archaeoglobus_B",2,0,13,1,0,0,1,0,2,0,0,1,1,8,2,10,0,0,0,0,1,29,4,0,0
"ASV182"," d__Bacteria"," p__Myxococcota"," c__Myxococcia"," o__Myxococcales"," f__Myxococcaceae"," g__Archangium_A",1445,0,0,375,7,0,0,1366,5,10,0,1210,0,0,0,1,0,0,6,0,0,13,12,0,0
"ASV183"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__DEV007"," g__Arctic95D-9",1,0,6,0,11,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0
"ASV184"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Arenimonas",1,0,15,0,1,1,0,2,1,1,0,1,0,0,2,7,2,0,1,0,73,3,31,1,0
"ASV185"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Micrococcaceae"," g__Arthrobacter",1,0,2,2,4,0,1,3,0,1,0,0,0,0,0,0,0,2,6,0,22,136,196,2,0
"ASV186"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Caulobacterales"," f__Caulobacteraceae"," g__Asticcacaulis",1,0,1,9,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ASV187"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Actinomycetales"," f__Microbacteriaceae"," g__Aurantimicrobium",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4,0,0
"ASV188"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Auraticoccus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV189"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Azomonas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV190"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Rhodocyclaceae"," g__Azonexus",11,0,4,229,690,0,9,21,1,7,6,90,2,8,501,2,1,2,96,0,10,7,7,47,1
"ASV191"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__NS11-12g"," f__UKL13-3"," g__B1",72,220,0,0,3,0,0,1,1554,0,0,0,2,0,0,1,12,0,3,0,2,0,23,1,2
"ASV192"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__Anaerolineales"," f__UBA11858"," g__B10-G9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2
"ASV193"," d__Archaea"," p__Thermoproteota"," c__Thermoprotei"," o__Thermofilales"," f__B15-G2"," g__B15-G2",1,0,0,1,0,1,5,0,1,1,0,1,0,1,0,0,0,0,1,0,43,11,21,0,0
"ASV194"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__F082"," g__B16-G9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV195"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__F082"," g__B6-G9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV196"," d__Archaea"," p__EX4484-52"," c__EX4484-52"," o__EX4484-52"," f__B79-G9"," g__B79-G9",2,0,5,0,0,0,2,0,5,0,0,0,0,0,5,5,2,0,0,0,0,9,6,2,0
"ASV197"," d__Archaea"," p__Thermoplasmatota"," c__E2"," o__DHVEG-1"," f__DHVEG-1"," g__B82-G9",1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,2,0,1,6,1,0,0
"ASV198"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Methylophilaceae"," g__BACL14",2,0,0,0,0,1,0,0,0,1,1,2,2,1,1,0,0,1,0,0,4,0,1,0,2
"ASV199"," d__Bacteria"," p__Desulfobacterota"," c__Desulfuromonadia"," o__Desulfuromonadales"," f__BM515"," g__BM515",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ASV200"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__DTU049"," g__BM518",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV201"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__BM714"," g__BM714",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV202"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__BNZN01",1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV203"," d__Bacteria"," p__Spirochaetota"," c__Spirochaetia"," o__Treponematales"," f__Breznakiellaceae"," g__BOBG01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV204"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," o__Levybacterales"," f__UBA12049"," g__BPJB01",1,0,9,1,0,0,0,0,4,0,0,0,0,2,1,43,0,0,0,0,0,49,2,0,0
"ASV205"," d__Bacteria"," p__Bacillota_B"," c__Desulfotomaculia"," o__Desulfotomaculales"," f__Desulfallaceae"," g__BRH-c8a",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0
"ASV206"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__SZUA-161"," f__SpSt-899"," g__BS503",2,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3,1,0,0
"ASV207"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__BS750m-G15",1,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,1,0,2,1,0,0,0
"ASV208"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__Dehalococcoidales"," f__BS750m-G39"," g__BS750m-G39",1,0,2,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,2,3,2,3,1
"ASV209"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__Paceibacterales"," f__RBG-13-42-11"," g__BS750m-G71",1,17,3,0,3,12,1,14,1,60,0,0,1,1,0,18,0,1,0,0,20,21,0,0,4
"ASV210"," d__Bacteria"," p__Omnitrophota"," c__Koll11"," o__Gygaellales"," f__Profunditerraquicolaceae"," g__BS750m-G77",1,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,0,0,0,1,0,0,0
"ASV211"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__BY39"," g__BY39",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,2
"ASV212"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__UBA932"," g__Bact-08",92,2,2,127,772,0,6,0,0,0,48,3,1,25,0,0,0,16,75,34,46,0,0,309,12
"ASV213"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," o__Streptosporangiales"," f__Streptosporangiaceae"," g__Bailinhaonella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV214"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Kaistiaceae"," g__Bauldia",2,0,0,0,0,1,0,5,0,0,0,7,0,1,2,14,1,1,3,1,4,2,0,0,0
