"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C24","C3","C4","C5","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E6","E9"
"71","ASV20","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","AKYH767",0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","ASV22","Bacteria","Acetothermia","Acetothermiia","Incertae Sedis","Incertae Sedis","AOM-SR-B11",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","ASV25","Bacteria","Acidobacteriota","AT-s3-28","AT-s3-28","AT-s3-28","AT-s3-28",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","ASV27","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","ASV29","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacteraceae",17,0,0,17,0,0,0,0,0,14,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"76","ASV30","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium",0,0,0,12,0,0,0,0,0,0,0,0,22,0,0,0,48,26,0,0,0,0,0,0,0,0,4,0,0,0,0,33,146,0,0,0,39,0
"77","ASV31","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter",0,0,67,11,0,0,0,0,0,0,0,61,27,0,25,0,0,10,0,0,0,0,0,0,0,0,114,0,0,0,0,0,160,72,0,0,8,0
"78","ASV32","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium",0,0,0,56,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","ASV33","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Acidiferrobacteraceae",0,0,0,12,0,10,123,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","ASV34","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobiaceae",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","ASV37","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",4,21,122,0,0,0,0,0,0,87,0,0,0,0,0,0,14,0,60,0,0,34,0,0,0,0,0,0,0,0,0,0,22,58,0,0,0,0
"82","ASV38","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
"83","ASV39","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","ASV40","Bacteria","Actinomycetota","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","ASV41","Bacteria","Actinomycetota","Acidimicrobiia","Actinomarinales","Actinomarinales","Actinomarinales",0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","ASV42","Bacteria","Actinomycetota","Actinomycetota","Actinomycetota","Actinomycetota","Actinomycetota",0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","ASV44","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aequorivita",0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","ASV46","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Afipia",44,0,0,0,0,24,179,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,23,114,0,0,0,0,0,0,0,0,0,0,0,0,49,0
