Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_ARCH-16-GW984_20251021,P16,ARCH,GW984,2024,GOWN
GLC_25GOWN_ARCH-17-GW3022_20251021,P17,ARCH,GW3022,2024,GOWN
GLC_25GOWN_ARCH-18-GW982_20251021,P18,ARCH,GW982,2024,GOWN
GLC_25GOWN_ARCH-19-GW989_20251021,P19,ARCH,GW989,2024,GOWN
GLC_25GOWN_ARCH-20-GW162_20251021,P20,ARCH,GW162,2024,GOWN
GLC_25GOWN_ARCH-21-GW983_20251021,P21,ARCH,GW983,2024,GOWN
GLC_25GOWN_ARCH-22-GW200_20251021,P22,ARCH,GW200,2024,GOWN
GLC_25GOWN_ARCH-23-GW949_20251021,P23,ARCH,GW949,2024,GOWN
GLC_25GOWN_ARCH-24-GW247_20251021,P24,ARCH,GW247,2024,GOWN
GLC_25GOWN_ARCH-25-GW242_20251021,P25,ARCH,GW242,2024,GOWN
GLC_25GOWN_ARCH-26-GW992_20251021,P26,ARCH,GW992,2024,GOWN
GLC_25GOWN_ARCH-27-GW1153_20251021,P27,ARCH,GW1153,2024,GOWN
GLC_25GOWN_ARCH-28-GW1143_20251021,P28,ARCH,GW1143,2024,GOWN
GLC_25GOWN_ARCH-29-GW243_20251021,P29,ARCH,GW243,2024,GOWN
GLC_25GOWN_ARCH-30-GW945_20251021,P30,ARCH,GW945,2024,GOWN
GLC_25GOWN_ARCH-31-GW244_20251021,P31,ARCH,GW244,2024,GOWN
GLC_25GOWN_ARCH-32-GW1144_20251021,P32,ARCH,GW1144,2024,GOWN
GLC_25GOWN_ARCH-33-GW246_20251021,P33,ARCH,GW246,2024,GOWN
GLC_25GOWN_ARCH-34-GW950_20251021,P34,ARCH,GW950,2024,GOWN
GLC_25GOWN_ARCH-35-GW991_20251021,P35,ARCH,GW991,2024,GOWN
GLC_25GOWN_ARCH-36-GW1151_20251021,P36,ARCH,GW1151,2024,GOWN
GLC_25GOWN_ARCH-37-GW313_20251021,P37,ARCH,GW313,2024,GOWN
GLC_25GOWN_ARCH-38-GW3010_20251021,P38,ARCH,GW3010,2024,GOWN
GLC_25GOWN_ARCH-39-GW1150_20251021,P39,ARCH,GW1150,2024,GOWN
GLC_25GOWN_ARCH-40-GW312_20251021,P40,ARCH,GW312,2024,GOWN
GLC_25GOWN_ARCH-41-GW248_20251021,P41,ARCH,GW248,2024,GOWN
GLC_25GOWN_ARCH-42a-GW50_20251021,P42a,ARCH,GW50,2024,GOWN
GLC_25GOWN_ARCH-42b-GW50_20251021,P42b,ARCH,GW50,2024,GOWN
GLC_25GOWN_ARCH-42c-GW50_20251021,P42c,ARCH,GW50,2024,GOWN
GLC_25GOWN_ARCH-43-GW44_20251021,P43,ARCH,GW44,2024,GOWN
GLC_25GOWN_ARCH-44-GW387_20251021,P44,ARCH,GW387,2024,GOWN
GLC_25GOWN_ARCH-45-GW3098_20251021,P45,ARCH,GW3098,2024,GOWN
GLC_25GOWN_ARCH-46-GW281_20251021,P46,ARCH,GW281,2024,GOWN
GLC_25GOWN_ARCH-47-GW369_20251021,P47,ARCH,GW369,2024,GOWN
GLC_25GOWN_ARCH-48-GW275_20251021,P48,ARCH,GW275,2024,GOWN
GLC_25GOWN_ARCH-49-GW239_20251021,P49,ARCH,GW239,2024,GOWN
GLC_25GOWN_ARCH-50-GW381_20251021,P50,ARCH,GW381,2024,GOWN
GLC_25GOWN_ARCH-51-GW277_20251021,P51,ARCH,GW277,2024,GOWN
GLC_25GOWN_ARCH-52-GW379_20251021,P52,ARCH,GW379,2024,GOWN
GLC_25GOWN_ARCH-53-GW389_20251021,P53,ARCH,GW389,2024,GOWN
GLC_25GOWN_ARCH-54-GW273_20251021,P54,ARCH,GW273,2024,GOWN
GLC_25GOWN_ARCH-55-GW238_20251021,P55,ARCH,GW238,2024,GOWN
