NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_NAGOWN_BACT-BE038-GW760_20180709_S37,ERU_GW760_BE038_S37_20180709,S37,20180709,BACT,NAGOWN,BE038,ERU,GW760,NA,
ERU_NAGOWN_ARCH-BE038-GW760_20181025_S37_Av6,ERU_GW760_BE038_S37_Av6_20181025,S37_Av6,20181025,ARCH,NAGOWN,BE038,ERU,GW760,NA,
ERU_16GOWN_BACT-BE039-GW298_20180709_S107,ERU_GW298_BE039_S107_20180709,S107,20180709,BACT,16GOWN,BE039,ERU,GW298,Viking,
ERU_16GOWN_ARCH-BE039-GW298_20181025_S107_Av6,ERU_GW298_BE039_S107_Av6_20181025,S107_Av6,20181025,ARCH,16GOWN,BE039,ERU,GW298,Viking,
ERU_NAGOWN_BACT-BE040-GW298_20180709_S49,ERU_GW298_BE040_S49_20180709,S49,20180709,BACT,NAGOWN,BE040,ERU,GW298,NA,
ERU_NAGOWN_BACT-BE040-GW298_20180709_S159,ERU_GW298_BE040_S159_20180709,S159,20180709,BACT,NAGOWN,BE040,ERU,GW298,NA,
ERU_NAGOWN_ARCH-BE040-GW298_20181025_S49_Av6,ERU_GW298_BE040_S49_Av6_20181025,S49_Av6,20181025,ARCH,NAGOWN,BE040,ERU,GW298,NA,
ERU_NAGOWN_ARCH-BE040-GW298_20181025_S159_Av6,ERU_GW298_BE040_S159_Av6_20181025,S159_Av6,20181025,ARCH,NAGOWN,BE040,ERU,GW298,NA,
ERU_16GOWN_BACT-BE041-GW338_20180709_S95,ERU_GW338_BE041_S95_20180709,S95,20180709,BACT,16GOWN,BE041,ERU,GW338,Grimshaw_Mercier,
ERU_16GOWN_ARCH-BE041-GW338_20181025_S95_Av6,ERU_GW338_BE041_S95_Av6_20181025,S95_Av6,20181025,ARCH,16GOWN,BE041,ERU,GW338,Grimshaw_Mercier,
ERU_16GOWN_BACT-BE042-GW373_20180709_S19,ERU_GW373_BE042_S19_20180709,S19,20180709,BACT,16GOWN,BE042,ERU,GW373,Beaverlodge,
ERU_16GOWN_ARCH-BE042-GW373_20181025_S19_Av6,ERU_GW373_BE042_S19_Av6_20181025,S19_Av6,20181025,ARCH,16GOWN,BE042,ERU,GW373,Beaverlodge,
ERU_16GOWN_BACT-BE043-GW341_20180709_S44,ERU_GW341_BE043_S44_20180709,S44,20180709,BACT,16GOWN,BE043,ERU,GW341,Beaverlodge,
ERU_16GOWN_ARCH-BE043-GW341_20181025_S44_Av6,ERU_GW341_BE043_S44_Av6_20181025,S44_Av6,20181025,ARCH,16GOWN,BE043,ERU,GW341,Beaverlodge,
ERU_16GOWN_BACT-BE044-GW137_20180709_S,ERU_GW137_BE044_S_20180709,S,20180709,BACT,16GOWN,BE044,ERU,GW137,Stettler,
ERU_16GOWN_ARCH-BE044-GW137_20181025_S_Av6,ERU_GW137_BE044_S_Av6_20181025,S_Av6,20181025,ARCH,16GOWN,BE044,ERU,GW137,Stettler,
ERU_16GOWN_BACT-BE045-GW439_20180709_S26,ERU_GW439_BE045_S26_20180709,S26,20180709,BACT,16GOWN,BE045,ERU,GW439,Sherwood_1975E_Ministik_replicate,
ERU_16GOWN_BACT-BE045-GW439_20180709_S52,ERU_GW439_BE045_S52_20180709,S52,20180709,BACT,16GOWN,BE045,ERU,GW439,Sherwood_1975E_Ministik_replicate,
ERU_16GOWN_ARCH-BE045-GW439_20181025_S26_Av6,ERU_GW439_BE045_S26_Av6_20181025,S26_Av6,20181025,ARCH,16GOWN,BE045,ERU,GW439,Sherwood_1975E_Ministik_replicate,
ERU_16GOWN_ARCH-BE045-GW439_20181025_S52_Av6,ERU_GW439_BE045_S52_Av6_20181025,S52_Av6,20181025,ARCH,16GOWN,BE045,ERU,GW439,Sherwood_1975E_Ministik_replicate,
ERU_16GOWN_BACT-BE046-GW439_20180709_S2,ERU_GW439_BE046_S2_20180709,S2,20180709,BACT,16GOWN,BE046,ERU,GW439,Ministik,
ERU_16GOWN_BACT-BE046-GW439_20180709_S3,ERU_GW439_BE046_S3_20180709,S3,20180709,BACT,16GOWN,BE046,ERU,GW439,Ministik,
