"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"105","k__Bacteria","p__Ignavibacteriota","c__CFGB2452","o__OFGB2452","f__FGB2452",0,0,55369,0,0,0,6420,0,6097,0,0,0,48731,9191,0,0,0,0,7259,0,"bOTU_105"
"106","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Leptospirales","f__Leptospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,15276,0,0,0,0,0,0,0,"bOTU_106"
"107","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiales_unclassified",0,0,0,0,0,0,25697,0,0,0,0,0,26252,0,0,0,23852,0,791404,0,"bOTU_107"
"108","k__Bacteria","p__Firmicutes","c__CFGB89099","o__OFGB89099","f__FGB89099",0,0,0,0,0,0,2833,0,0,42688,0,0,5017,19978,0,0,0,0,5987,0,"bOTU_108"
"109","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae",0,0,26532,0,0,0,14668,0,0,0,0,0,9688,0,0,0,6805,0,0,0,"bOTU_109"
"110","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB10823","o__OFGB10823","f__FGB10823",0,0,26541,0,0,0,0,0,0,12377,0,0,13482,0,0,0,463078,0,290628,0,"bOTU_110"
"111","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Holosporales","f__Candidatus_Paracaedibacteraceae",0,2548,0,0,1855,0,0,0,0,0,0,0,5621,0,0,5293,0,5818,0,0,"bOTU_111"
"112","k__Bacteria","p__Firmicutes","c__CFGB8920","o__OFGB8920","f__FGB8920",0,0,0,0,0,0,0,0,0,147066,0,0,4861,359418,0,0,0,0,7264,0,"bOTU_112"
"113","k__Bacteria","p__Candidatus_Cryosericota","c__Candidatus_Cryosericia","o__Candidatus_Cryosericales","f__Candidatus_Cryosericaceae",0,0,0,0,0,0,0,0,0,0,0,0,8075,0,0,0,5476,0,0,0,"bOTU_113"
"114","k__Bacteria","p__Mycoplasmatota","c__CFGB32834","o__OFGB32834","f__FGB32834",0,0,0,0,0,0,19546,0,2585,0,0,0,6559,0,0,0,2975,0,0,0,"bOTU_114"
